Vecindario,Vecindario Latitude,Vecindario Longitude,Lugar,Lugar Latitude,Lugar Longitude,Categoria Lugar
City Center (Neighborhood),37.8022,-122.273,Imperial Soup,37.799,-122.272,Noodle House
City Center (Neighborhood),37.8022,-122.273,Sweetheart Cafe,37.7995,-122.27,Candy Store
City Center (Neighborhood),37.8022,-122.273,La Borinqueña Mex-icatessen,37.8009,-122.277,Mexican Restaurant
City Center (Neighborhood),37.8022,-122.273,Pintoh Thai Street Food,37.8047,-122.269,Thai Restaurant
City Center (Neighborhood),37.8022,-122.273,Oakland Flower Market,37.8021,-122.277,Flower Shop
City Center (Neighborhood),37.8022,-122.273,Pardee Home Museum,37.8043,-122.277,Museum
City Center (Neighborhood),37.8022,-122.273,new tin's market,37.7984,-122.271,Grocery Store
City Center (Neighborhood),37.8022,-122.273,Lafayette Square,37.8044,-122.277,Park
City Center (Neighborhood),37.8022,-122.273,10th Planet Oakland,37.7987,-122.27,Martial Arts School
Civic Center,37.8006,-122.265,Mad Oak Bar,37.8,-122.265,Bar
Civic Center,37.8006,-122.265,Oakland Museum of California,37.7987,-122.264,Museum
Civic Center,37.8006,-122.265,The Ruby Room,37.8014,-122.264,Dive Bar
Civic Center,37.8006,-122.265,Oakland Main Library,37.8013,-122.264,Library
Civic Center,37.8006,-122.265,Off the Grid: Lake Merritt @ OMCA,37.7981,-122.264,Street Food Gathering
Civic Center,37.8006,-122.265,Lucky Duck Bicycle Cafe,37.8017,-122.269,Café
Civic Center,37.8006,-122.265,Lake Merritt Amphitheater,37.799,-122.261,Performing Arts Venue
Civic Center,37.8006,-122.265,The Alice Collective,37.8025,-122.267,Café
Civic Center,37.8006,-122.265,Lake Merritt Rowing Club Boathouse,37.8023,-122.262,Outdoors & Recreation
Civic Center,37.8006,-122.265,Binh Minh Quan,37.802,-122.269,Vietnamese Restaurant
Civic Center,37.8006,-122.265,Tay Ho Restaurant & Bar,37.8021,-122.27,Vietnamese Restaurant
Civic Center,37.8006,-122.265,Fresh and Best,37.8031,-122.266,Vietnamese Restaurant
